I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11
-14.01183,101.55689,-114.65506,-7.44885,10.67613,11.90387,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45435,10.67613,11.90387,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.44885,10.67613,11.90936,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.44885,10.67613,11.90936,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.45435,10.67064,11.90936,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.66240,11.90936,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.45435,10.65965,11.90936,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.45435,10.66240,11.90936,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45435,10.66515,11.90936,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45435,10.66789,11.90936,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.67339,11.90936,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.45984,10.67339,11.90936,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.67339,11.91486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.67339,11.91486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.45984,10.67064,11.91486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.67613,11.90936,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.67339,11.90936,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.45984,10.67613,11.90936,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.45984,10.68163,11.90936,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.68437,11.90936,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.45984,10.68712,11.90936,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.46533,10.68437,11.90936,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.45984,10.68163,11.91486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.46533,10.68712,11.91486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.46533,10.68987,11.90936,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.47083,10.68987,11.91486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.46533,10.69261,11.91486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.46533,10.69810,11.90936,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.46533,10.69536,11.91486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.46533,10.69261,11.91486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.47083,10.68712,11.91486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.47083,10.68437,11.91486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.47083,10.68437,11.91486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.47083,10.68163,11.91486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.46533,10.67613,11.92035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.67888,11.92035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.46533,10.67613,11.92035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.67613,11.92035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.67888,11.92035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.45984,10.67339,11.92035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.67339,11.92035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.67613,11.92035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.68163,11.91486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.68163,11.92035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.46533,10.68437,11.91486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.45984,10.68987,11.91486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.61113,-7.46533,10.68712,11.91486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.46533,10.68437,11.91486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.46533,10.68163,11.91486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.46533,10.68712,11.91486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.68987,11.91486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.68712,11.91486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.61113,-7.45984,10.68437,11.91486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.45984,10.68437,11.91486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.45435,10.68987,11.91486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.68437,11.92035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45435,10.69261,11.91486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.45435,10.68987,11.91486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45435,10.69810,11.91486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45435,10.69810,11.91486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45435,10.70085,11.91486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45435,10.69536,11.91486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.69261,11.91486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.68987,11.91486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
